index,start,end,duration,cumval,roi,type
1,245,248,5,0.138095689518773,1,snowmelt
2,251,251,2,0.02420897300226678,1,snowmelt
3,253,253,2,0.02527183096176512,1,snowmelt
4,255,263,10,0.31163569336288,1,snowmelt
5,271,274,5,0.17240386300697694,1,snowmelt
6,278,285,9,0.3132053818536916,1,snowmelt
7,287,287,2,0.02731145231123637,1,snowmelt
8,306,315,11,0.6757116915172282,1,snowmelt
9,337,340,5,0.18844410125784378,1,snowmelt
10,664,665,3,0.06596637662512252,1,snowmelt
11,667,668,3,0.0677154288024455,1,snowmelt
12,674,674,2,0.02533793929193643,1,snowmelt
13,676,676,2,0.02545016971292493,1,snowmelt
14,684,692,10,0.5271365504971142,1,snowmelt
15,697,697,2,0.045785399554223574,1,snowmelt
16,699,701,4,0.1393081880395893,1,snowmelt
1,255,264,11,0.4989021439018583,1,snowmelt
2,271,274,5,0.23400042776100863,1,snowmelt
3,278,285,9,0.32680627396800493,1,snowmelt
4,287,287,2,0.02593496413418115,1,snowmelt
5,289,290,3,0.05046576683681678,1,snowmelt
6,293,293,2,0.026233732789141383,1,snowmelt
7,308,323,17,1.0629988881091648,1,snowmelt
8,337,340,5,0.23045568884786982,1,snowmelt
9,664,665,3,0.07069132859550567,1,snowmelt
10,667,669,4,0.1119444640254268,1,snowmelt
11,674,674,2,0.030545635812872826,1,snowmelt
12,676,676,2,0.02921270738825605,1,snowmelt
13,684,694,12,0.6648504515974559,1,snowmelt
14,697,697,2,0.04724541996242548,1,snowmelt
15,699,701,4,0.17361328672173876,1,snowmelt
1,207,207,2,0.024235108853729856,1,snowmelt
2,259,264,7,0.32135925504249496,1,snowmelt
3,273,274,3,0.1597110636140865,1,snowmelt
4,278,285,9,0.3438473615896048,1,snowmelt
5,287,294,9,0.4476307778787679,1,snowmelt
6,308,324,18,1.5273253503960793,1,snowmelt
7,337,341,6,0.3370889378818594,1,snowmelt
8,664,665,3,0.07370207619051664,1,snowmelt
9,667,669,4,0.13050143103188494,1,snowmelt
10,674,676,4,0.0851152437970679,1,snowmelt
11,685,694,11,0.7024281688569228,1,snowmelt
12,697,697,2,0.04557477533949174,1,snowmelt
13,699,702,5,0.22770424989678661,1,snowmelt
1,207,208,3,0.052552022744780956,1,snowmelt
2,258,264,8,0.33167727922597584,1,snowmelt
3,273,274,3,0.13988983885156162,1,snowmelt
4,278,282,6,0.16068731453638366,1,snowmelt
5,284,285,3,0.07893232128918584,1,snowmelt
6,287,291,6,0.1732294484326046,1,snowmelt
7,293,294,3,0.10245714994433101,1,snowmelt
8,308,332,26,2.3106737026564086,1,snowmelt
9,337,341,6,0.41618883610101437,1,snowmelt
10,351,351,2,0.02572638979015231,1,snowmelt
11,664,665,3,0.0798147906268214,1,snowmelt
12,667,670,5,0.16465740162039216,1,snowmelt
13,674,676,4,0.08421073834937527,1,snowmelt
14,686,695,11,0.7289627201717275,1,snowmelt
15,697,697,2,0.04128285855511442,1,snowmelt
16,699,703,6,0.28213754147923314,1,snowmelt
1,246,247,3,0.07379842011355697,1,snowmelt
2,253,264,13,0.6650144412536948,1,snowmelt
3,271,274,5,0.2578875710629066,1,snowmelt
4,278,291,15,0.7261800206924237,1,snowmelt
5,293,294,3,0.05785196344735174,1,snowmelt
6,308,318,12,1.0245448511241713,1,snowmelt
7,321,321,2,0.027378585576759165,1,snowmelt
8,337,341,6,0.36806043433327756,1,snowmelt
9,664,670,8,0.31020129633846544,1,snowmelt
10,674,676,4,0.0970588154480169,1,snowmelt
11,687,695,10,0.9563553897216601,1,snowmelt
12,697,697,2,0.05408481356293886,1,snowmelt
13,699,701,4,0.19847565601058237,1,snowmelt
1,207,209,4,0.08656706472245787,1,snowmelt
2,247,247,2,0.027343737774808398,1,snowmelt
3,255,255,2,0.028587496823845263,1,snowmelt
4,257,264,9,0.4160140846235848,1,snowmelt
5,272,274,4,0.19959283554370988,1,snowmelt
6,278,285,9,0.35903024141894774,1,snowmelt
7,287,291,6,0.18953412000415668,1,snowmelt
8,293,294,3,0.10309517220063545,1,snowmelt
9,308,331,25,2.2074832114680847,1,snowmelt
10,337,342,7,0.4736226259249569,1,snowmelt
11,664,671,9,0.3860875097630138,1,snowmelt
12,674,676,4,0.10869183168746349,1,snowmelt
13,687,703,18,1.4892992239203342,1,snowmelt
1,207,210,5,0.12706994747508607,1,snowmelt
2,225,225,2,0.026900965702963395,1,snowmelt
3,228,228,2,0.02466558170135697,1,snowmelt
4,259,264,7,0.2631424146100117,1,snowmelt
5,273,274,3,0.137978334421027,1,snowmelt
6,278,278,2,0.0420566847454917,1,snowmelt
7,284,284,2,0.037890322541672294,1,snowmelt
8,293,294,3,0.0958268431555222,1,snowmelt
9,308,335,29,3.3048461320421096,1,snowmelt
10,337,348,13,0.7825822130850885,1,snowmelt
11,351,351,2,0.02459229882372521,1,snowmelt
12,651,651,2,0.026624233158060243,1,snowmelt
13,664,671,9,0.3879744157451126,1,snowmelt
14,674,676,4,0.1076571594501312,1,snowmelt
15,687,697,12,1.1999804729008647,1,snowmelt
16,699,704,7,0.41260976185360054,1,snowmelt
1,207,211,6,0.15173142943503704,1,snowmelt
2,225,225,2,0.029730812208435816,1,snowmelt
3,227,228,3,0.053576445628598306,1,snowmelt
4,261,261,2,0.03061533141677434,1,snowmelt
5,273,274,3,0.09071292821924742,1,snowmelt
6,294,294,2,0.029247042722531064,1,snowmelt
7,309,352,45,5.522452117509215,1,snowmelt
8,651,652,3,0.061235275042630405,1,snowmelt
9,654,654,2,0.026106128337880508,1,snowmelt
10,656,657,3,0.05934324438377417,1,snowmelt
11,665,671,8,0.2729249100723375,1,snowmelt
12,674,675,3,0.06552309208560174,1,snowmelt
13,689,697,10,1.0821426306043527,1,snowmelt
14,699,706,9,0.6875015228654532,1,snowmelt
15,717,718,3,0.054888362878509456,1,snowmelt
1,11,11,2,0.031780682911421984,1,snowmelt
2,20,22,4,0.1000700755107036,1,snowmelt
3,207,210,5,0.13322468426080208,1,snowmelt
4,227,228,3,0.05056672296893884,1,snowmelt
5,257,264,9,0.352436319835117,1,snowmelt
6,273,274,3,0.13383093352121023,1,snowmelt
7,278,281,5,0.12976757732021588,1,snowmelt
8,284,285,3,0.07912859640899679,1,snowmelt
9,288,291,5,0.14139700628593221,1,snowmelt
10,293,294,3,0.09999986743912632,1,snowmelt
11,308,356,50,4.042213834563756,1,snowmelt
12,360,360,2,0.024964350356317194,1,snowmelt
13,363,364,3,0.05843258932397256,1,snowmelt
14,396,396,2,0.02601388415624612,1,snowmelt
15,400,401,3,0.06798139952615793,1,snowmelt
16,404,405,3,0.06805468240378967,1,snowmelt
17,539,539,2,0.02682050827787118,1,snowmelt
18,542,542,2,0.029128150221757878,1,snowmelt
19,649,652,5,0.10844021005867191,1,snowmelt
20,664,671,9,0.39968635200662417,1,snowmelt
21,674,676,4,0.10036884416566383,1,snowmelt
22,689,705,18,1.6884154645255998,1,snowmelt
23,762,762,2,0.03981566359945207,1,snowmelt
24,769,769,2,0.025323077729339782,1,snowmelt
1,11,11,2,0.03143989190705053,1,snowmelt
2,20,22,4,0.10152189643609356,1,snowmelt
3,77,77,2,0.02483264616365033,1,snowmelt
4,137,137,2,0.024638420914542394,1,snowmelt
5,207,211,6,0.17325507181639194,1,snowmelt
6,223,223,2,0.024244333271893292,1,snowmelt
7,225,228,5,0.10888656940424717,1,snowmelt
8,259,263,6,0.2088095666920115,1,snowmelt
9,273,274,3,0.1158223069278009,1,snowmelt
10,278,278,2,0.03910948314227333,1,snowmelt
11,284,284,2,0.03438299376886296,1,snowmelt
12,293,294,3,0.08066394956553344,1,snowmelt
13,308,365,59,5.432038470412604,1,snowmelt
14,396,396,2,0.03581226611652005,1,snowmelt
15,400,401,3,0.07739748060032495,1,snowmelt
16,404,405,3,0.07115511184205629,1,snowmelt
17,539,540,3,0.053863939994692106,1,snowmelt
18,542,542,2,0.030705525727705744,1,snowmelt
19,649,652,5,0.11377704843389645,1,snowmelt
20,665,671,8,0.337900686680242,1,snowmelt
21,674,675,3,0.06513720392576461,1,snowmelt
22,689,712,25,2.0458114465265917,1,snowmelt
23,717,717,2,0.024798310829375312,1,snowmelt
24,762,763,3,0.07971178462399635,1,snowmelt
25,769,769,2,0.03531466000337017,1,snowmelt
1,11,11,2,0.03488931183250053,1,snowmelt
2,20,23,5,0.1261285443547397,1,snowmelt
3,137,137,2,0.027121326803534407,1,snowmelt
4,207,211,6,0.1671941166153376,1,snowmelt
5,227,228,3,0.059064974435843805,1,snowmelt
6,261,263,4,0.09636954642413778,1,snowmelt
7,273,274,3,0.092108890167981,1,snowmelt
8,278,278,2,0.028891390155562965,1,snowmelt
9,294,294,2,0.03159568208047749,1,snowmelt
10,309,372,65,6.576400826464696,1,snowmelt
11,396,396,2,0.03947026038599889,1,snowmelt
12,400,401,3,0.0783614322984042,1,snowmelt
13,404,405,3,0.06939991005262436,1,snowmelt
14,539,540,3,0.05714527052249724,1,snowmelt
15,542,542,2,0.031825267599211934,1,snowmelt
16,651,652,3,0.053957209111677965,1,snowmelt
17,654,657,5,0.12284823876228601,1,snowmelt
18,665,665,2,0.03205536558562215,1,snowmelt
19,667,671,6,0.19365845985856486,1,snowmelt
20,674,674,2,0.03572975882072486,1,snowmelt
21,689,697,10,1.0839967386552036,1,snowmelt
22,699,715,18,1.2323540809131255,1,snowmelt
23,717,719,4,0.11203722067473691,1,snowmelt
24,762,763,3,0.08968286819099687,1,snowmelt
25,769,769,2,0.03486061364265873,1,snowmelt
1,11,11,2,0.040089321338300725,1,snowmelt
2,20,23,5,0.12495909311868605,1,snowmelt
3,137,137,2,0.02728992866885501,1,snowmelt
4,194,194,2,0.024304291989955654,1,snowmelt
5,208,211,5,0.12818712700821355,1,snowmelt
6,227,228,3,0.06460167520460948,1,snowmelt
7,274,274,2,0.027434444553415538,1,snowmelt
8,309,321,14,0.8426874969026977,1,snowmelt
9,324,328,6,0.5489400002294266,1,snowmelt
10,330,377,49,6.44418621599279,1,snowmelt
11,380,380,2,0.02408649322776337,1,snowmelt
12,396,396,2,0.03965782355532214,1,snowmelt
13,400,401,3,0.07543114212848545,1,snowmelt
14,404,405,3,0.0662943559376003,1,snowmelt
15,539,540,3,0.05831830903228108,1,snowmelt
16,542,542,2,0.0320548531179464,1,snowmelt
17,565,565,2,0.034369669609293545,1,snowmelt
18,567,567,2,0.02979333326487689,1,snowmelt
19,651,657,8,0.25971451832694303,1,snowmelt
20,671,671,2,0.027116714594452685,1,snowmelt
21,674,674,2,0.026757474753754364,1,snowmelt
22,691,697,8,0.816778156152304,1,snowmelt
23,699,714,17,1.581325094324844,1,snowmelt
24,717,723,8,0.2622179229229649,1,snowmelt
25,762,763,3,0.09278073529088474,1,snowmelt
26,769,769,2,0.03047850254735002,1,snowmelt
1,4,5,3,0.08547499610544197,1,snowmelt
2,9,13,6,0.36199589185849296,1,snowmelt
3,17,28,13,0.9788291471738492,1,snowmelt
4,37,37,2,0.0519821586893508,1,snowmelt
5,45,46,3,0.09648895139258673,1,snowmelt
6,50,50,2,0.026953237405889535,1,snowmelt
7,73,73,2,0.04441249865089858,1,snowmelt
8,77,78,3,0.13442642096042773,1,snowmelt
9,137,146,11,0.49575866717882894,1,snowmelt
10,158,158,2,0.033606092772431186,1,snowmelt
11,172,177,7,0.2952177664349879,1,snowmelt
12,194,194,2,0.024517478543066212,1,snowmelt
13,203,204,3,0.06107589759547324,1,snowmelt
14,311,311,2,0.028722788290242364,1,snowmelt
15,317,318,3,0.07433138649633336,1,snowmelt
16,320,321,3,0.1456950726824185,1,snowmelt
17,323,328,7,0.6217283465540872,1,snowmelt
18,330,336,8,1.029122724871615,1,snowmelt
19,339,383,46,7.631904362348392,1,snowmelt
20,389,391,4,0.1325666757651435,1,snowmelt
21,395,407,14,1.216078107531415,1,snowmelt
22,413,413,2,0.03842482632747595,1,snowmelt
23,513,515,4,0.18647725031832857,1,snowmelt
24,517,519,4,0.12424625058172259,1,snowmelt
25,524,531,9,0.3531466000337017,1,snowmelt
26,538,547,11,0.7723282473610759,1,snowmelt
27,553,555,4,0.0964751147653416,1,snowmelt
28,565,565,2,0.028679741005479657,1,snowmelt
29,567,568,3,0.06462524871769379,1,snowmelt
30,656,656,2,0.02642898297360081,1,snowmelt
31,694,696,4,0.28022296224264404,1,snowmelt
32,702,715,15,1.6460087643575732,1,snowmelt
33,718,726,10,1.032752020951252,1,snowmelt
34,749,755,8,0.33490838792155786,1,snowmelt
35,761,764,5,0.40941093862159056,1,snowmelt
36,768,771,5,0.2862178091135271,1,snowmelt
37,773,774,3,0.06270861961040175,1,snowmelt
0,0,0,0,0,1,snowmelt
1,17,28,13,1.0360041408215397,1,snowmelt
2,36,38,4,0.12436821788855029,1,snowmelt
3,45,47,4,0.14972973069357104,1,snowmelt
4,50,51,3,0.0648630337192402,1,snowmelt
5,73,74,3,0.09455746072269802,1,snowmelt
6,77,78,3,0.17300652499365488,1,snowmelt
7,137,146,11,0.624842612619599,1,snowmelt
8,158,158,2,0.04841282132777611,1,snowmelt
9,172,177,7,0.34261590176478585,1,snowmelt
10,189,189,2,0.025683854973065346,1,snowmelt
11,311,311,2,0.026813333730410727,1,snowmelt
12,318,318,2,0.028120638771240155,1,snowmelt
13,320,321,3,0.08642767351465482,1,snowmelt
14,323,328,7,0.5181191692746779,1,snowmelt
15,330,336,8,0.8579421222066451,1,snowmelt
16,339,391,54,8.716645716536455,1,snowmelt
17,394,407,15,1.4738401240137637,1,snowmelt
18,413,414,3,0.08379358966131759,1,snowmelt
19,493,494,3,0.05243979232379245,1,snowmelt
20,513,515,4,0.1936476980373742,1,snowmelt
21,517,519,4,0.10749265732621655,1,snowmelt
22,523,531,10,0.4695110977624424,1,snowmelt
23,538,548,12,0.8616631500002409,1,snowmelt
24,553,556,5,0.12480074060688039,1,snowmelt
25,565,565,2,0.02673338877299426,1,snowmelt
26,567,568,3,0.05774793250917517,1,snowmelt
27,694,696,4,0.15318939997253597,1,snowmelt
28,703,715,14,1.3773926825029126,1,snowmelt
29,719,731,14,1.7032590907535985,1,snowmelt
30,742,742,2,0.026548900409725518,1,snowmelt
31,749,755,8,0.45703250985801397,1,snowmelt
32,761,765,6,0.5654014869097572,1,snowmelt
33,768,776,10,0.5833065950326657,1,snowmelt
0,0,0,0,0,1,snowmelt
1,36,38,4,0.1197298729553683,1,snowmelt
2,45,47,4,0.1485080077545913,1,snowmelt
3,50,50,2,0.031440916842402036,1,snowmelt
4,73,74,3,0.08862923464966196,1,snowmelt
5,77,78,3,0.146622126707844,1,snowmelt
6,137,146,11,0.6405297606418764,1,snowmelt
7,158,158,2,0.04333119185507337,1,snowmelt
8,172,177,7,0.3237273681721197,1,snowmelt
9,189,189,2,0.02541378450794691,1,snowmelt
10,311,311,2,0.028175985280220806,1,snowmelt
11,320,321,3,0.05619720532236613,1,snowmelt
12,324,327,5,0.30428946923105327,1,snowmelt
13,330,336,8,0.8056340340755196,1,snowmelt
14,339,339,2,0.028095527855128578,1,snowmelt
15,341,344,5,0.337661876743344,1,snowmelt
16,346,407,63,10.688172923592882,1,snowmelt
17,413,414,3,0.0770500275161688,1,snowmelt
18,513,515,4,0.18231908759732107,1,snowmelt
19,517,519,4,0.10469407134896466,1,snowmelt
20,523,531,10,0.435337190805284,1,snowmelt
21,538,548,12,0.852197872029202,1,snowmelt
22,554,557,5,0.135054706330893,1,snowmelt
23,565,565,2,0.030007544753338944,1,snowmelt
24,567,568,3,0.06048860963906772,1,snowmelt
25,694,696,4,0.18506437693629532,1,snowmelt
26,703,715,14,1.454835772726379,1,snowmelt
27,717,733,18,2.010823228432672,1,snowmelt
28,749,755,8,0.45943957053099554,1,snowmelt
29,761,766,7,0.6168322303800047,1,snowmelt
30,768,771,5,0.37793824878329224,1,snowmelt
31,773,774,3,0.0763048995156333,1,snowmelt
0,0,0,0,0,1,snowmelt
1,37,38,3,0.0915846357356923,1,snowmelt
2,45,47,4,0.1426991866500042,1,snowmelt
3,73,74,3,0.07819488030378657,1,snowmelt
4,77,78,3,0.10927143262873282,1,snowmelt
5,137,146,11,0.639000044629773,1,snowmelt
6,158,158,2,0.03567082503801402,1,snowmelt
7,172,177,7,0.2944864750616976,1,snowmelt
8,189,189,2,0.025984673498728565,1,snowmelt
9,196,196,2,0.02667086771655318,1,snowmelt
10,311,311,2,0.024379624738290386,1,snowmelt
11,325,327,4,0.16035369807947267,1,snowmelt
12,331,336,7,0.6984637189173476,1,snowmelt
13,341,343,4,0.26514821309288367,1,snowmelt
14,346,409,65,11.631725333371365,1,snowmelt
15,413,414,3,0.06620006188526294,1,snowmelt
16,513,515,4,0.16654020786108498,1,snowmelt
17,517,519,4,0.10504459923917531,1,snowmelt
18,524,531,9,0.3622495633579875,1,snowmelt
19,538,548,12,0.8212965836493612,1,snowmelt
20,554,558,6,0.17708628016027314,1,snowmelt
21,565,565,2,0.03277487020237029,1,snowmelt
22,567,569,4,0.09328961569290103,1,snowmelt
23,694,696,4,0.1594522674378345,1,snowmelt
24,705,714,11,1.2314039658422913,1,snowmelt
25,718,735,19,2.5908423433254235,1,snowmelt
26,749,756,9,0.47144412583535833,1,snowmelt
27,761,766,7,0.6272547979693379,1,snowmelt
28,768,771,5,0.320164180422654,1,snowmelt
29,773,774,3,0.05623871520410159,1,snowmelt
0,0,0,0,0,1,snowmelt
1,142,145,5,0.20920621667303932,2,snowmelt
2,148,150,4,0.09006568154477954,2,snowmelt
3,152,152,2,0.026199397454866363,2,snowmelt
4,161,163,4,0.0915472255953628,2,snowmelt
5,235,235,2,0.02566284379835974,2,snowmelt
6,242,244,4,0.10112832126112023,2,snowmelt
7,250,250,2,0.02810885201469799,2,snowmelt
8,252,252,2,0.029008232785633185,2,snowmelt
9,254,259,7,0.2956600260391572,2,snowmelt
10,261,264,5,0.18652388487682148,2,snowmelt
11,267,271,6,0.31638678118472624,2,snowmelt
12,274,283,11,0.6958870314436939,2,snowmelt
13,582,594,14,0.6706956579070211,2,snowmelt
14,596,600,6,0.14995880374462978,2,snowmelt
15,602,607,7,0.19880619766143895,2,snowmelt
16,613,615,4,0.08976332561608907,2,snowmelt
17,618,621,5,0.19380092587242242,2,snowmelt
18,628,629,3,0.09686254032820596,2,snowmelt
1,142,145,5,0.2131214697157429,2,snowmelt
2,148,153,7,0.19677528826245538,2,snowmelt
3,161,163,4,0.1014342644635409,2,snowmelt
4,244,244,2,0.03145936567872891,2,snowmelt
5,252,252,2,0.029230131289231444,2,snowmelt
6,254,264,12,0.9898072297236916,2,snowmelt
7,266,271,7,0.378747435243296,2,snowmelt
8,275,287,14,0.9702002164496288,2,snowmelt
9,586,594,10,0.7020796908374152,2,snowmelt
10,596,607,13,0.4138294349218773,2,snowmelt
11,609,611,4,0.10138506756666921,2,snowmelt
12,613,616,5,0.16027529052508344,2,snowmelt
13,618,624,8,0.3815347469316815,2,snowmelt
14,628,629,3,0.11510843945548593,2,snowmelt
1,132,136,6,0.17828545452152006,2,snowmelt
2,142,146,6,0.23491569502989199,2,snowmelt
3,148,154,8,0.29474988344703135,2,snowmelt
4,160,165,7,0.19762239733046444,2,snowmelt
5,254,259,7,0.473017914067576,2,snowmelt
6,261,264,5,0.27120660595555934,2,snowmelt
7,267,271,6,0.5274471059086165,2,snowmelt
8,276,288,14,1.6031618544560802,2,snowmelt
9,533,533,2,0.024491342691603125,2,snowmelt
10,587,594,9,0.5360001914168264,2,snowmelt
11,597,600,5,0.1437738313660447,2,snowmelt
12,603,616,15,0.8301325513145832,2,snowmelt
13,618,624,8,0.5343848933028733,2,snowmelt
14,628,630,4,0.15577582433202877,2,snowmelt
1,131,138,9,0.3890336864308807,2,snowmelt
2,142,146,6,0.24581741989604822,2,snowmelt
3,148,156,10,0.43558215035429093,2,snowmelt
4,161,164,5,0.1603870084783962,2,snowmelt
5,255,259,6,0.30944848132279373,2,snowmelt
6,262,264,4,0.10314641896821011,2,snowmelt
7,268,271,5,0.413945252616596,2,snowmelt
8,276,290,16,2.180337286216114,2,snowmelt
9,525,525,2,0.02512321533579862,2,snowmelt
10,529,530,3,0.0545209235549992,2,snowmelt
11,533,535,4,0.08352966880830812,2,snowmelt
12,537,537,2,0.02415977610539513,2,snowmelt
13,587,587,2,0.06408510778745696,2,snowmelt
14,589,594,7,0.4020283292847858,2,snowmelt
15,598,600,4,0.08394374269031132,2,snowmelt
16,605,607,4,0.10462078847133294,2,snowmelt
